"Claim Number","Date Received","Incident Date","Airport Code","Airport Name","Airline Name","Claim Type","Claim Site","Item Category","Close Amount","Disposition"
2014022011795,2014-02-11,2014-01-05 10:00:00,"SEA","Seattle-Tacoma International","Alaska Airlines","Property Damage","Checked Baggage","Clothing",170,"Approve in Full"
2014022011796,2014-02-18,2013-11-26 08:58:00,"LAX","Los Angeles International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Books, Magazines & Other",NA,"-"
2014022011797,2014-01-28,2013-02-01 00:00:00,"BOS","Boston (Logan) International Airport","American Airlines","Property Damage","Checked Baggage","Travel Accessories",20,"Approve in Full"
2014022011798,2014-02-20,2014-01-03 00:00:00,"EWR","Newark International Airport","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses",50,"Settle"
2014022011799,2014-02-18,2014-01-23 18:00:00,"DFW","Dallas-Fort Worth International Airport","Sun Country Airlines Inc","Property Damage","Checked Baggage","Cosmetics & Grooming",9.66,"Approve in Full"
2014022011800,2014-02-11,2014-01-14 06:00:00,"PIT","Pittsburgh International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014022011801,2014-02-18,2013-12-19 00:00:00,"DEN","Denver International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Personal Accessories",0,"Deny"
2014022011802,2014-02-20,2014-01-27 07:00:00,"ATL","Hartsfield-Jackson Atlanta International Airport","AirTran Airlines","Passenger Property Loss","Checkpoint","Clothing",45,"Approve in Full"
2014022011804,2014-02-18,2013-01-19 13:55:00,"ILG","New Castle Airport","Frontier Airlines","Property Damage","Checkpoint","Personal Accessories",522,"Settle"
2014022011805,2014-02-18,2013-09-16 05:45:00,"STL","Lambert St. Louis International","American Airlines","Passenger Property Loss","Checkpoint","Medical/Science",181.04,"Approve in Full"
2014022011806,2014-02-18,2014-01-25 00:00:00,"SLC","Salt Lake City International Airport","Southwest Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",50,"Settle"
2014022011807,2014-02-10,2014-01-30 00:00:00,"MIA","Miami International Airport","Iberia Airlines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014022011808,2014-02-11,2014-01-17 18:30:00,"JNU","Juneau International","Alaska Airlines","Passenger Property Loss","Checked Baggage","Tools & Home Improvement Supplies",0,"Deny"
2014022011809,2014-02-18,2014-01-08 00:00:00,"AUS","Austin-Bergstrom International Airport","Jet Blue","Property Damage","Checked Baggage","Travel Accessories",40,"Approve in Full"
2014022011810,2014-02-18,2013-11-24 21:55:00,"FLL","Ft. Lauderdale-Hollywood International","Spirit Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",NA,"-"
2014022011811,2014-02-10,2013-12-20 15:00:00,"MCO","Orlando International Airport","Carribean Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",34.99,"Approve in Full"
2014022011812,2014-02-18,2014-01-13 14:00:00,"DTW","Detroit Metropolitan Wayne County Airport","Delta Air Lines","Property Damage","Checked Baggage","Other",0,"Deny"
2014022011813,2014-02-10,2014-01-18 13:36:00,"TPA","Tampa International","American Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",11.96,"Approve in Full"
2014022011814,2014-02-18,2014-02-16 05:00:00,"PHL","Philadelphia International Airport","USAir","Passenger Property Loss","Checkpoint","Computer & Accessories",NA,"-"
2014022011815,2014-02-17,2014-02-16 15:30:00,"OAK","Metropolitan Oakland International","Allegiant Air","Passenger Property Loss","Checkpoint","Jewelry & Watches",290,"Approve in Full"
2014022011816,2014-02-10,2013-12-25 18:00:00,"MCO","Orlando International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",183.75,"Settle"
2014022011817,2014-02-18,2014-02-06 00:00:00,"OAK","Metropolitan Oakland International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Computer & Accessories; Other; Other; Personal Accessories",NA,"-"
2014022011818,2014-02-18,2014-02-16 06:30:00,"DCA","Ronald Reagan Washington National Airport","AirTran Airlines","Passenger Property Loss","Checkpoint","-",NA,"-"
2014022011819,2014-02-11,2012-11-15 12:00:00,"PBI","Palm Beach International","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses",60,"Approve in Full"
2014022011820,2014-02-18,2014-02-15 00:00:00,"ORD","Chicago O'Hare International Airport","American Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",50,"Approve in Full"
2014022011821,2014-02-11,2013-11-28 00:00:00,"IAD","Washington Dulles International","Emirates","Passenger Property Loss","Checked Baggage","Currency",2000,"Approve in Full"
2014022011822,2014-02-18,2014-01-30 16:45:00,"MSY","New Orleans International","AirTran Airlines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",66.95,"Approve in Full"
2014022011823,2014-02-20,2014-01-26 06:00:00,"MCO","Orlando International Airport","Delta Air Lines","Property Damage","Checkpoint","Baggage/Cases/Purses",129,"Approve in Full"
2014022011824,2014-02-17,2014-01-06 00:00:00,"ISP","Long Island McArthur, Islip","-","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming; Medical/Science",187.84,"Approve in Full"
2014022011825,2014-02-18,2014-02-16 00:00:00,"SUN","Friedman Memorial","Delta Air Lines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014022011826,2014-02-17,2014-01-31 00:00:00,"PHX","Phoenix Sky Harbor International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Cameras",NA,"-"
2014022011827,2014-02-11,2014-01-19 10:00:00,"DTW","Detroit Metropolitan Wayne County Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",0,"Deny"
2014022011828,2014-02-18,2014-02-16 00:00:00,"LIT","Little Rock National","Southwest Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming; Jewelry & Watches",0,"Deny"
2014022011829,2014-02-17,2014-01-09 00:00:00,"MIA","Miami International Airport","British Airways","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",NA,"-"
2014022011830,2014-02-20,2014-01-11 11:30:00,"BQK","Glynco Jetport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Cameras",0,"Deny"
2014022011831,2014-02-10,2013-11-22 00:00:00,"MIA","Miami International Airport","-","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014022011832,2014-02-14,2014-01-15 00:00:00,"FAY","Fayetteville Regional","USAir","Passenger Property Loss","Checked Baggage","Personal Electronics",0,"Deny"
2014022011833,2014-02-11,2014-01-16 16:30:00,"F","Foreign airport","Iberia Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014022011834,2014-02-14,2014-02-13 13:00:00,"OAK","Metropolitan Oakland International","Southwest Airlines","Passenger Property Loss","Checkpoint","-",NA,"-"
2014022011835,2014-02-17,2014-02-13 16:20:00,"PDX","Portland International","UAL","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014022011836,2014-02-18,2014-01-01 10:15:00,"HOU","William P. Hobby","Southwest Airlines","Property Damage","Checked Baggage","Computer & Accessories",287.9,"Settle"
2014022011837,2014-02-18,2014-02-17 20:00:00,"SFO","San Francisco International","UAL","Passenger Property Loss","Checked Baggage","Cameras",NA,"-"
2014022011838,2014-02-17,2012-04-28 22:00:00,"LIH","Lihue Airport","UAL","Passenger Property Loss","Checked Baggage","Cameras",0,"Deny"
2014022011839,2014-02-18,2014-01-26 00:00:00,"MIA","Miami International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014022011840,2014-02-17,2014-02-01 07:30:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Computer & Accessories",500,"Settle"
2014022011841,2014-02-14,2014-02-10 07:45:00,"MSY","New Orleans International","American Airlines","Passenger Property Loss","Checked Baggage","Personal Electronics",NA,"-"
2014022011842,2014-02-17,2014-02-14 18:45:00,"EWR","Newark International Airport","Virgin Atlantic","Passenger Property Loss","Checkpoint","Jewelry & Watches",0,"Deny"
2014022011843,2014-02-27,2013-09-02 00:00:00,"EWR","Newark International Airport","UAL","Personal Injury","Checkpoint","Other",0,"Deny"
2014022011844,2014-02-13,2014-02-06 14:00:00,"LAX","Los Angeles International Airport","Spirit Airlines","Passenger Property Loss","Checked Baggage","Computer & Accessories",0,"Deny"
2014022011845,2014-02-14,2014-02-05 14:00:00,"SDY","Sidney-Richland Airport","Alaska Airlines","Passenger Property Loss","Checked Baggage","Other",NA,"-"
2014022011846,2014-02-18,2013-12-22 00:00:00,"STL","Lambert St. Louis International","American Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014022111847,2014-02-18,2014-01-21 15:30:00,"LAX","Los Angeles International Airport","Jet Blue","Passenger Property Loss","Checked Baggage","Other; Personal Electronics",0,"Deny"
2014022111848,2014-02-18,2014-02-11 20:35:00,"BOS","Boston (Logan) International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses; Cosmetics & Grooming; Food & Drink",0,"Deny"
2014022111849,2014-02-18,2014-02-03 14:00:00,"JFK","John F. Kennedy International","Aero Flot","Property Damage","Checked Baggage","Baggage/Cases/Purses; Travel Accessories",0,"Deny"
2014022111850,2014-02-10,2014-02-01 15:00:00,"AUS","Austin-Bergstrom International Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Clothing",23.84,"Approve in Full"
2014022111851,2014-02-11,2014-01-27 18:55:00,"MIA","Miami International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",NA,"-"
2014022111852,2014-02-18,2014-01-20 00:00:00,"BRD","Brainerd, MN","Delta Air Lines","Passenger Property Loss","Checkpoint","Clothing",205,"Approve in Full"
2014022111853,2014-02-10,2014-01-29 18:00:00,"MCI","Kansas City International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Travel Accessories",NA,"-"
2014022111854,2014-02-21,2013-03-05 12:50:00,"ABI","Abilene Regional","American Airlines","Property Damage","Checkpoint","Personal Electronics",499,"Approve in Full"
2014022111855,2014-02-21,2014-01-24 17:45:00,"DSM","Des Moines International","Southwest Airlines","Property Damage","Checked Baggage","Clothing",0,"Deny"
2014022111856,2014-02-11,2011-11-28 07:41:00,"FLL","Ft. Lauderdale-Hollywood International","Southwest Airlines","Property Damage","Checked Baggage","Other",0,"Deny"
2014022111857,2014-02-14,2014-02-05 00:00:00,"SEA","Seattle-Tacoma International","Alaska Airlines","Passenger Property Loss","Checked Baggage","Clothing; Cosmetics & Grooming",178.02,"Settle"
2014022111858,2014-02-11,2014-01-31 11:58:00,"DEN","Denver International Airport","Spirit Airlines","Passenger Property Loss","Checked Baggage","Personal Accessories",0,"Deny"
2014022111859,2014-02-11,2014-01-27 00:00:00,"MCO","Orlando International Airport","AirTran Airlines","Passenger Property Loss","Checked Baggage","Personal Electronics",0,"Deny"
2014022111860,2014-02-15,2014-02-08 00:00:00,"MDW","Midway International Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Travel Accessories",21,"Approve in Full"
2014022111861,2014-02-18,2014-02-10 00:00:00,"LAX","Los Angeles International Airport","Allegiant Air","Passenger Property Loss","Checked Baggage","Computer & Accessories",0,"Deny"
2014022111862,2014-02-18,2014-02-14 05:30:00,"MSP","Minneapolis/ St.Paul International Airport","-","Property Damage","Checkpoint","-",0,"Deny"
2014022111863,2014-02-10,2014-01-07 12:50:00,"ANC","Ted Stevens Anchorage International Airport","Alaska Airlines","Passenger Property Loss","Checked Baggage","Hunting & Fishing Items",0,"Deny"
2014022111864,2014-02-18,2013-11-13 16:22:00,"SEA","Seattle-Tacoma International","UAL","Property Damage","Checked Baggage","Computer & Accessories",NA,"-"
2014022111865,2014-02-18,2014-01-03 00:00:00,"RIC","Richmond International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014022111867,2014-02-19,2014-01-18 22:00:00,"DFW","Dallas-Fort Worth International Airport","American Airlines","Passenger Property Loss","Checkpoint","Other",60.66,"Approve in Full"
2014022111868,2014-02-19,2013-12-21 00:00:00,"BWI","Baltimore/Washington Intl Thurgood Marshall","Southwest Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014022111869,2014-02-14,2014-01-30 00:00:00,"JFK","John F. Kennedy International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Medical/Science",NA,"-"
