"Claim Number","Date Received","Incident Date","Airport Code","Airport Name","Airline Name","Claim Type","Claim Site","Item Category","Close Amount","Disposition"
2013081805991,2014-01-13,2012-12-21 00:00:00,"HPN","Westchester County, White Plains","USAir","Personal Injury","Checked Baggage","Audio/Video; Jewelry & Watches",0,"Deny"
2014080215586,2014-07-17,2014-06-30 18:38:00,"MCO","Orlando International Airport","Delta Air Lines","Property Damage","Checked Baggage","-",0,"Deny"
2014010710583,2014-01-07,2013-12-27 22:00:00,"SJU","Luis Munoz Marin International","Jet Blue","Property Damage","Checked Baggage","Food & Drink",50,"Approve in Full"
2014010910683,2014-01-07,2014-01-02 00:00:00,"IAD","Washington Dulles International","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014011310783,2014-01-09,2014-01-07 00:00:00,"SAT","San Antonio International","Southwest Airlines","Property Damage","Checked Baggage","Computer & Accessories",0,"Deny"
2014011610883,2014-01-13,2013-12-15 14:00:00,"CHS","Charleston International","Delta Air Lines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014012110966,2014-01-14,2013-03-24 00:00:00,"SJU","Luis Munoz Marin International","AirTran Airlines","Passenger Property Loss","Checked Baggage","Clothing; Cosmetics & Grooming; Jewelry & Watches",NA,"-"
2014012311066,2014-01-14,2013-12-23 06:45:00,"LAX","Los Angeles International Airport","Air Canada","Property Damage","Checkpoint","Computer & Accessories",198.33,"Settle"
2014012711166,2014-01-23,2013-12-29 14:51:00,"PVD","TF Green Airport, Providence","USAir","Property Damage","Checked Baggage","Audio/Video",89.99,"Settle"
2014013011266,2014-01-27,2014-01-01 06:10:00,"BLI","Bellingham International","Alaska Airlines","Property Damage","Checked Baggage","Jewelry & Watches",0,"Deny"
2014020311366,2014-01-29,2014-01-23 10:15:00,"LGA","LaGuardia","USAir","Property Damage","Checkpoint","Clothing",210,"Settle"
2014020511466,2014-02-01,2013-12-15 00:00:00,"JFK","John F. Kennedy International","USAir","Property Damage","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014020711566,2014-02-04,2014-01-14 05:09:00,"ONT","Ontario International","Southwest Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014021311666,2014-01-25,2014-01-24 17:30:00,"LAS","McCarran International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Personal Electronics",0,"Deny"
2014021911766,2014-02-13,2014-02-02 00:00:00,"BTR","Baton Rouge Metropolitan","UAL","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",45,"Approve in Full"
2014022111866,2014-02-11,2014-01-19 10:45:00,"DEN","Denver International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Clothing",0,"Deny"
2014022511966,2014-02-25,2014-02-15 16:30:00,"BOS","Boston (Logan) International Airport","Virgin Atlantic","Passenger Property Loss","Checked Baggage","Travel Accessories",40,"Approve in Full"
2014022712066,2014-02-24,2014-01-02 07:00:00,"PHX","Phoenix Sky Harbor International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",93,"Approve in Full"
2014030312166,2014-02-25,2014-02-15 13:30:00,"AUS","Austin-Bergstrom International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014030712266,2014-03-06,2014-02-28 22:15:00,"HNL","Honolulu International Airport","Air New Zealand","Passenger Property Loss","Checked Baggage","-",NA,"-"
2014031112357,2014-03-07,2014-03-04 00:00:00,"LAX","Los Angeles International Airport","American Airlines","Property Damage","Checked Baggage","Other",344,"Approve in Full"
2014031312457,2014-03-10,2012-03-15 00:00:00,"CLE","Cleveland Hopkins International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Toys & Games",50,"Approve in Full"
2014031712557,2014-03-17,2013-10-24 09:00:00,"LAX","Los Angeles International Airport","American Airlines","Passenger Property Loss","Checkpoint","Clothing",NA,"-"
2014032112657,2014-03-19,2014-01-20 19:15:00,"JFK","John F. Kennedy International","Air France","Passenger Property Loss","Checked Baggage","Clothing",280.57,"Settle"
2014032712757,2014-03-22,2014-02-27 06:15:00,"LGA","LaGuardia","Delta Air Lines","Property Damage","Checkpoint","Jewelry & Watches",80,"Approve in Full"
2014033112857,2014-03-25,2014-03-06 00:00:00,"OGG","Kahului-Maui, HI","Air Canada","Passenger Property Loss","Checkpoint","Medical/Science",93.21,"Approve in Full"
2014040312957,2014-04-01,2013-11-02 07:00:00,"PHX","Phoenix Sky Harbor International","Southwest Airlines","Property Damage","Checked Baggage","Home Decor",52.98,"Approve in Full"
2014040813057,2014-04-02,2014-03-10 00:00:00,"TPA","Tampa International","Air Canada","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014041413219,2014-04-10,2014-04-04 00:00:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Clothing",159.2,"Approve in Full"
2014041713319,2014-04-16,2014-04-13 15:15:00,"SEA","Seattle-Tacoma International","Southwest Airlines","Property Damage","Checkpoint","Computer & Accessories",587.11,"Settle"
2014042113419,2014-04-21,2014-04-03 00:00:00,"JAX","Jacksonville International","Southeast Airlines","Passenger Property Loss","Checked Baggage","Clothing",0,"Deny"
2014042513519,2014-04-21,2014-03-16 00:00:00,"F","Foreign airport","USAir","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014043013619,2014-04-25,2014-04-11 00:00:00,"MCO","Orlando International Airport","Virgin Atlantic","Property Damage","Checked Baggage","Baggage/Cases/Purses",85,"Approve in Full"
2014050613719,2014-05-01,2014-04-03 00:00:00,"LAX","Los Angeles International Airport","UAL","Passenger Property Loss","Checked Baggage","Cameras",208.59,"Approve in Full"
2014050913819,2014-04-28,2014-03-12 15:30:00,"LAX","Los Angeles International Airport","Jet Blue","Property Damage","Checkpoint","Clothing",140.39,"Settle"
2014051413919,2014-04-21,2013-09-06 00:00:00,"BOS","Boston (Logan) International Airport","UAL","Property Damage","Checked Baggage","Other",1931.99,"Settle"
2014051914019,2014-05-12,2014-04-18 15:15:00,"SEA","Seattle-Tacoma International","Alaska Airlines","Passenger Property Loss","Checked Baggage","Currency",NA,"-"
2014052114119,2014-05-19,2014-04-29 04:53:00,"DSM","Des Moines International","Southwest Airlines","Property Damage","Checked Baggage","Household Items",NA,"-"
2014052714207,2014-05-27,2014-05-06 00:00:00,"PHX","Phoenix Sky Harbor International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Household Items",0,"Deny"
2014053014307,2014-05-21,2013-12-30 00:00:00,"TPA","Tampa International","UAL","Property Damage","Checkpoint","Computer & Accessories",321,"Settle"
2014060314389,2014-05-30,2014-02-25 13:15:00,"EWR","Newark International Airport","-","Personal Injury","Checkpoint","-",NA,"-"
2014060914489,2014-06-04,2014-05-30 00:00:00,"DTW","Detroit Metropolitan Wayne County Airport","Spirit Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",0,"Deny"
2014061214589,2014-06-06,2014-05-27 12:50:00,"JFK","John F. Kennedy International","Turkish Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses; Clothing",175,"Settle"
2014061714689,2014-06-09,2014-06-03 14:30:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Jewelry & Watches",265.34,"Settle"
2014062314789,2014-06-13,2014-05-19 20:30:00,"BOS","Boston (Logan) International Airport","Jet Blue","Property Damage","Checked Baggage","Baggage/Cases/Purses",170,"Settle"
2014062514889,2014-06-23,2014-06-10 00:00:00,"PHX","Phoenix Sky Harbor International","Southwest Airlines","Passenger Property Loss","Checked Baggage","-",NA,"-"
2014070214989,2014-06-24,2014-06-22 06:22:00,"LAS","McCarran International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Sporting Equipment & Supplies",0,"Deny"
2014071015089,2014-07-10,2014-06-23 19:15:00,"RNO","Reno/Tahoe International","USAir","Property Damage","Checked Baggage","Household Items; Other; Other",149,"Approve in Full"
2014071615189,2014-07-01,2014-06-27 00:00:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Computer & Accessories",NA,"-"
2014072115289,2014-07-07,2014-03-25 07:35:00,"DCA","Ronald Reagan Washington National Airport","USAir","Property Damage","Checkpoint","Personal Electronics",269,"Settle"
2014072415389,2014-07-24,2014-06-27 05:20:00,"TUL","Tulsa International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014072915486,2014-07-15,2014-07-03 12:30:00,"FLL","Ft. Lauderdale-Hollywood International","-","Property Damage","Checkpoint","Baggage/Cases/Purses",63.6,"Approve in Full"
2014080415686,2014-08-04,2014-07-01 00:00:00,"TYS","Mcghee Tyson ,Knoxville","-","Property Damage","Checkpoint","-",60,"Approve in Full"
2014080815786,2014-07-21,2014-07-12 00:00:00,"MCO","Orlando International Airport","USAir","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014081515886,2014-08-01,2014-07-29 05:30:00,"ORD","Chicago O'Hare International Airport","American Airlines","Property Damage","Checkpoint","Computer & Accessories",409.79,"Approve in Full"
2014081815986,2014-07-28,2014-05-04 00:00:00,"SFO","San Francisco International","UAL","Passenger Property Loss","Checked Baggage","Jewelry & Watches",NA,"-"
2014082016086,2014-10-30,2014-04-13 00:00:00,"LAS","McCarran International","-","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014082216163,2014-08-06,2014-06-14 00:00:00,"LAX","Los Angeles International Airport","Virgin America","Property Damage","Checked Baggage","Cosmetics & Grooming",48.54,"Approve in Full"
2014082916319,2014-08-14,2014-07-19 18:35:00,"JFK","John F. Kennedy International","Virgin Atlantic","Property Damage","Checkpoint","Computer & Accessories",NA,"-"
2014090416419,2014-08-19,2014-07-28 00:00:00,"MEM","Memphis International Airport","USAir","Passenger Property Loss","Checked Baggage","Currency",NA,"-"
2014091016497,2014-08-18,2014-07-17 00:00:00,"ANC","Ted Stevens Anchorage International Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Hunting & Fishing Items",21,"Approve in Full"
2014091516597,2014-08-20,2014-07-28 20:50:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checkpoint","Computer & Accessories",NA,"-"
2014091916797,2014-08-19,2014-08-16 00:00:00,"SEA","Seattle-Tacoma International","All Nippon Airways","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014092216897,2014-09-05,2014-07-30 20:45:00,"DTW","Detroit Metropolitan Wayne County Airport","UAL","Passenger Property Loss","Checked Baggage","Sporting Equipment & Supplies",362.5,"Settle"
2014092516997,2014-09-08,2014-08-26 08:30:00,"BDL","Bradley International Airport","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses",100,"Approve in Full"
2014092617097,2014-09-14,2014-08-30 10:50:00,"PHX","Phoenix Sky Harbor International","American Airlines","Property Damage","Checked Baggage","Medical/Science",NA,"-"
2014093017197,2014-09-12,2014-09-10 19:00:00,"JFK","John F. Kennedy International","Jet Blue","Passenger Property Loss","Checked Baggage","Computer & Accessories",NA,"-"
2014100217297,2014-09-22,2014-09-15 06:45:00,"PHX","Phoenix Sky Harbor International","UAL","Personal Injury","Checkpoint","Other",NA,"-"
2014100617397,2014-09-25,2014-08-29 00:00:00,"MCO","Orlando International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014100817497,2014-09-29,2014-08-24 00:00:00,"FLL","Ft. Lauderdale-Hollywood International","Jet Blue","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014101417597,2014-10-06,2014-10-05 14:00:00,"MSP","Minneapolis/ St.Paul International Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Cameras",0,"Deny"
2014101617697,2014-10-08,2014-10-03 16:00:00,"MIA","Miami International Airport","Aero Flot","Property Damage","Checked Baggage","Other",NA,"-"
2014101817797,2014-10-16,2014-09-16 12:00:00,"SEA","Seattle-Tacoma International","Frontier Airlines","Passenger Property Loss","Checked Baggage","-",28,"Approve in Full"
2014102117897,2014-10-07,2014-08-15 06:00:00,"SIT","Sitka 'Rocky Guitierrez'","Alaska Airlines","Passenger Property Loss","Checked Baggage","Food & Drink",NA,"-"
2014102617997,2014-10-23,2014-10-08 00:00:00,"MIA","Miami International Airport","American Airlines","Property Damage","Checked Baggage","-",0,"Deny"
2014103018097,2014-10-24,2014-10-11 19:20:00,"EWR","Newark International Airport","UAL","Passenger Property Loss","Checked Baggage","Jewelry & Watches",NA,"-"
2014110418197,2014-10-30,2014-08-27 07:02:00,"BWI","Baltimore/Washington Intl Thurgood Marshall","Southwest Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014111018297,2014-11-02,2014-10-24 00:00:00,"PIE","St. Petersburg-Clearwater International","Sun Country Airlines Inc","Passenger Property Loss","Checked Baggage","Computer & Accessories",NA,"-"
2014111718384,2014-11-04,2014-09-05 00:00:00,"SNA","John Wayne","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Cosmetics & Grooming",NA,"-"
2014111918450,2014-11-10,2014-10-23 10:20:00,"LAS","McCarran International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Hunting & Fishing Items",0,"Deny"
2014112418525,2014-11-14,2014-11-07 15:15:00,"EWR","Newark International Airport","Air Canada","Passenger Property Loss","Checkpoint","Currency",NA,"-"
2014112618625,2014-11-24,2014-11-24 07:00:00,"SNA","John Wayne","American Airlines","Passenger Property Loss","Checked Baggage","Cosmetics & Grooming",NA,"-"
2014112818725,2014-11-24,2014-11-17 17:40:00,"SRQ","Sarasota Bradenton International","Jet Blue","Passenger Property Loss","Checked Baggage","Jewelry & Watches; Personal Electronics",NA,"-"
2014120218807,2014-11-16,2014-11-10 00:00:00,"MYR","Myrtle Beach International","Spirit Airlines","Property Damage","Checkpoint","Personal Accessories",NA,"-"
2014120518907,2014-12-05,2014-11-13 19:30:00,"ORD","Chicago O'Hare International Airport","UAL","Passenger Property Loss","Checked Baggage","Clothing",368.52,"Settle"
2014120819007,2014-12-02,2014-11-29 16:55:00,"BUR","Bob Hope","Southwest Airlines","Property Damage","Checked Baggage","-",NA,"-"
2014121019103,2014-12-10,2014-11-07 12:00:00,"ATL","Hartsfield-Jackson Atlanta International Airport","American Airlines","Property Damage","Checkpoint","Other",NA,"-"
2014121519203,2014-12-15,2014-12-12 12:00:00,"SFO","San Francisco International","American Airlines","Property Damage","Checked Baggage","Clothing",NA,"-"
2014121819303,2014-12-18,2014-12-12 09:45:00,"TPA","Tampa International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Toys & Games",NA,"-"
2014122919401,2014-12-29,2014-12-13 06:50:00,"MIA","Miami International Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Computer & Accessories",NA,"-"
2015010219501,2014-12-31,2014-08-03 17:40:00,"DCA","Ronald Reagan Washington National Airport","USAir","Passenger Property Loss","Checked Baggage","-",NA,"-"
2012072695739,2014-02-03,2012-02-04 00:00:00,"ZZZ","Unspecified Personal Injury","-","Personal Injury","Other","-",0,"Deny"
2013053003894,2014-04-18,2013-04-22 08:40:00,"ACY","Atlantic City International","-","Motor Vehicle","Motor Vehicle","Baggage/Cases/Purses",2233.86,"Settle"
2013081205863,2014-04-24,2013-08-02 00:00:00,"ZZX","Non TSA Airport (motor vehicle)","-","Personal Injury","Motor Vehicle","-",20000,"Settle"
2013082906390,2014-07-03,2013-07-23 08:05:00,"BNA","Nashville International","Southwest Airlines","Personal Injury","Checkpoint","Other",NA,"-"
2013082906401,2014-02-24,2013-05-25 06:50:00,"PHX","Phoenix Sky Harbor International","USAir","Personal Injury","Checkpoint","-",NA,"-"
2013092507351,2014-01-13,2012-12-26 00:00:00,"DCA","Ronald Reagan Washington National Airport","USAir","Personal Injury","Checkpoint","Other",0,"Deny"
2013102507888,2014-02-14,2012-07-13 06:20:00,"FLL","Ft. Lauderdale-Hollywood International","Jet Blue","Personal Injury","Checkpoint","-",NA,"-"
2013103108490,2014-05-22,2013-09-26 00:00:00,"ZZX","Non TSA Airport (motor vehicle)","-","Personal Injury","Motor Vehicle","-",NA,"-"
2013111909516,2014-02-09,2013-09-07 12:00:00,"FLL","Ft. Lauderdale-Hollywood International","Spirit Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses; Clothing",0,"Deny"
2013121110011,2014-07-21,2013-05-15 00:00:00,"JAX","Jacksonville International","-","Personal Injury","Checkpoint","-",NA,"-"
2013121810135,2014-02-12,2013-03-07 17:30:00,"RSW","Southwest Florida International","USAir","Personal Injury","Checkpoint","Other",0,"Deny"
2013123010324,2014-05-21,2013-11-30 00:00:00,"MCO","Orlando International Airport","Delta Air Lines","Personal Injury","Checkpoint","-",0,"Deny"
2014010210415,2014-01-02,2013-11-20 17:30:00,"PDX","Portland International","-","Property Damage","Checkpoint","Clothing",44,"Approve in Full"
2014010610477,2014-01-06,2013-11-07 17:00:00,"MSP","Minneapolis/ St.Paul International Airport","Delta Air Lines","Property Damage","Checked Baggage","-",95,"Approve in Full"
2014010610495,2014-01-06,2013-12-19 07:35:00,"BOS","Boston (Logan) International Airport","Alaska Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014010610502,2014-03-21,2013-12-21 00:00:00,"SEA","Seattle-Tacoma International","Alaska Airlines","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014010610508,2014-01-06,2013-12-22 00:00:00,"RDU","Raleigh-Durham International","USAir","Property Damage","Checked Baggage","Other",0,"Deny"
2014010610516,2014-01-02,2013-12-23 08:30:00,"LAX","Los Angeles International Airport","Southwest Airlines","Property Damage","Checked Baggage","Computer & Accessories",1735.91,"Approve in Full"
2014010610521,2014-01-02,2013-11-07 13:22:00,"OGG","Kahului-Maui, HI","Hawaiian Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",11.99,"Approve in Full"
2014010710522,2014-01-02,2012-12-21 17:00:00,"RAP","Rapid City Regional","Delta Air Lines","Property Damage","Checked Baggage","Baggage/Cases/Purses; Clothing",NA,"-"
2014010710523,2014-01-02,2013-12-14 08:00:00,"RSW","Southwest Florida International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",14.99,"Approve in Full"
2014010710524,2014-01-02,2013-12-19 00:00:00,"SNA","John Wayne","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses; Travel Accessories",0,"Deny"
2014010710526,2014-01-02,2013-11-29 14:45:00,"PHX","Phoenix Sky Harbor International","USAir","Property Damage","Checked Baggage","Baggage/Cases/Purses; Personal Accessories",475.16,"Approve in Full"
2014010710528,2014-01-02,2013-12-03 15:49:00,"BOS","Boston (Logan) International Airport","American Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014010710530,2014-01-02,2013-12-03 18:30:00,"RDU","Raleigh-Durham International","American Airlines","Property Damage","Checkpoint","Personal Electronics",49,"Approve in Full"
2014010710533,2014-01-02,2013-12-15 17:00:00,"MIA","Miami International Airport","American Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014010710535,2014-01-02,2013-12-15 00:00:00,"IAD","Washington Dulles International","American Airlines","Passenger Property Loss","Checked Baggage","Medical/Science",0,"Deny"
2014010710549,2014-01-02,2013-12-13 00:00:00,"RDU","Raleigh-Durham International","USAir","Property Damage","Checkpoint","Jewelry & Watches",1385,"Approve in Full"
2014010710550,2014-01-02,2013-10-09 19:00:00,"PDX","Portland International","Southwest Airlines","Passenger Property Loss","Checkpoint","Jewelry & Watches",0,"Deny"
2014010710551,2014-01-02,2013-12-17 13:30:00,"SAT","San Antonio International","American Airlines","Passenger Property Loss","Checkpoint","Medical/Science",NA,"-"
2014010710553,2014-01-02,2013-12-31 08:00:00,"IAH","Houston - George Bush Intercontinental Airport","Spirit Airlines","Property Damage","Checked Baggage","Household Items",0,"Deny"
2014010710555,2014-01-02,2013-12-05 16:00:00,"MIA","Miami International Airport","-","Passenger Property Loss","Checked Baggage","Personal Electronics",NA,"-"
2014010710556,2014-01-02,2013-12-28 00:00:00,"PWM","Portland International Jetport","Jet Blue","Property Damage","Checked Baggage","Clothing; Food & Drink",0,"Deny"
2014010710557,2014-01-03,2014-01-02 00:00:00,"MOB","Mobile Regional","-","Property Damage","Checked Baggage","Household Items",0,"Deny"
2014010710558,2014-01-02,2013-12-16 00:00:00,"SJC","Norman Y Mineta San Jose International","UAL","Passenger Property Loss","Checked Baggage","Clothing; Cosmetics & Grooming",0,"Deny"
2014010710559,2014-01-02,2013-12-10 10:00:00,"MSY","New Orleans International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Travel Accessories",12,"Approve in Full"
2014010710561,2014-01-02,2013-12-11 10:30:00,"BTR","Baton Rouge Metropolitan","Delta Air Lines","Passenger Property Loss","Checked Baggage","Other",NA,"-"
2014010710562,2014-01-02,2013-12-31 19:50:00,"IAD","Washington Dulles International","USAir","Property Damage","Checked Baggage","Baggage/Cases/Purses; Computer & Accessories; Other",162.19,"Approve in Full"
2014010710563,2014-01-02,2013-12-08 11:51:00,"HNL","Honolulu International Airport","Hawaiian Airlines","Passenger Property Loss","Checked Baggage","Baggage/Cases/Purses",77.27,"Settle"
2014010710567,2014-01-02,2013-11-26 13:30:00,"DFW","Dallas-Fort Worth International Airport","Alaska Airlines","Passenger Property Loss","Checked Baggage","Clothing",189.48,"Settle"
2014010710568,2014-01-02,2013-12-17 14:00:00,"LGA","LaGuardia","Southwest Airlines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014010710570,2014-01-02,2013-12-20 00:00:00,"HOU","William P. Hobby","Delta Air Lines","Passenger Property Loss","Checkpoint","Other",NA,"-"
2014010710572,2014-01-03,2013-12-23 20:00:00,"JFK","John F. Kennedy International","Virgin America","Passenger Property Loss","Checked Baggage","Personal Electronics",NA,"-"
2014010710574,2014-01-02,2013-11-08 08:30:00,"MCO","Orlando International Airport","American Airlines","Property Damage","Checked Baggage","Baggage/Cases/Purses",NA,"-"
2014010710577,2014-01-02,2013-12-05 14:30:00,"LAX","Los Angeles International Airport","Virgin America","Property Damage","Checkpoint","Baggage/Cases/Purses",30,"Approve in Full"
2014010710578,2014-01-02,2013-12-03 16:30:00,"SNA","John Wayne","UAL","Property Damage","Checkpoint","Personal Electronics",135.31,"Settle"
2014010710579,2014-01-02,2013-12-09 14:25:00,"BWI","Baltimore/Washington Intl Thurgood Marshall","Southwest Airlines","Passenger Property Loss","Checked Baggage","Audio/Video",0,"Deny"
2014010710580,2014-01-03,2014-01-01 16:56:00,"RDU","Raleigh-Durham International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Personal Electronics",254.06,"Approve in Full"
2014010710581,2014-01-02,2013-12-05 00:00:00,"TPA","Tampa International","Delta Air Lines","Property Damage","Checked Baggage","Jewelry & Watches",0,"Deny"
2014010710582,2014-01-02,2013-12-29 00:00:00,"SNA","John Wayne","UAL","Passenger Property Loss","Checked Baggage","Personal Electronics",0,"Deny"
2014010710584,2014-01-01,2013-12-18 00:00:00,"SUX","Sioux Gateway","American Airlines","Passenger Property Loss","Checked Baggage","Currency",0,"Deny"
2014010710587,2014-01-02,2013-09-10 14:50:00,"MCO","Orlando International Airport","British Airways","Property Damage","Checkpoint","Jewelry & Watches",117.13,"Settle"
2014010710589,2014-01-02,2013-12-25 09:30:00,"DEN","Denver International Airport","Southwest Airlines","Passenger Property Loss","Checked Baggage","Clothing",0,"Deny"
2014010710590,2014-01-02,2013-12-29 00:00:00,"SAT","San Antonio International","Southwest Airlines","Passenger Property Loss","Checked Baggage","Audio/Video",0,"Deny"
2014010710593,2014-01-02,2013-12-06 06:15:00,"SAN","San Diego International","American Airlines","Property Damage","Checkpoint","Personal Accessories",124.95,"Approve in Full"
2014010710594,2014-01-03,2013-11-20 17:05:00,"SFO","San Francisco International","-","Property Damage","Other","-",899.99,"Approve in Full"
2014010710595,2014-01-02,2013-10-31 09:00:00,"ATL","Hartsfield-Jackson Atlanta International Airport","Delta Air Lines","Passenger Property Loss","Checkpoint","Jewelry & Watches",0,"Deny"
2014010710596,2014-01-02,2013-12-15 11:00:00,"DFW","Dallas-Fort Worth International Airport","USAir","Passenger Property Loss","Checked Baggage","Clothing",90,"Approve in Full"
2014010710597,2014-01-02,2013-12-24 00:00:00,"LGB","Long Beach","Jet Blue","Passenger Property Loss","Checkpoint","Jewelry & Watches",0,"Deny"
2014010710598,2014-01-02,2013-10-09 00:00:00,"PBI","Palm Beach International","Delta Air Lines","Passenger Property Loss","Checked Baggage","Jewelry & Watches",0,"Deny"
2014010710599,2014-01-02,2013-12-09 22:30:00,"LAS","McCarran International","USAir","Passenger Property Loss","Checked Baggage","Clothing",0,"Deny"
2014010710600,2014-01-02,2013-12-01 18:30:00,"PHL","Philadelphia International Airport","-","Passenger Property Loss","Checkpoint","Clothing",NA,"-"
2014010710601,2014-01-02,2013-09-17 20:38:00,"FLL","Ft. Lauderdale-Hollywood International","Spirit Airlines","Property Damage","Checked Baggage","Clothing",0,"Deny"
2014010810604,2014-01-05,2014-01-01 00:00:00,"LAX","Los Angeles International Airport","Sun Country Airlines Inc","Property Damage","Checkpoint","Computer & Accessories",NA,"-"
2014010810607,2014-01-03,2013-12-16 23:00:00,"JFK","John F. Kennedy International","Air France","Passenger Property Loss","Checked Baggage","Computer & Accessories",531.74,"Approve in Full"
2014010810608,2014-01-02,2013-12-27 20:37:00,"CLT","Charlotte/Douglas International Airport","USAir","Passenger Property Loss","Checked Baggage","Clothing",NA,"-"
2014010810609,2014-01-03,2013-12-26 00:00:00,"DTW","Detroit Metropolitan Wayne County Airport","Delta Air Lines","Passenger Property Loss","Checked Baggage","Clothing",78.87,"Approve in Full"
2014010810610,2014-01-02,2013-10-14 16:00:00,"RDU","Raleigh-Durham International","Alaska Airlines","Passenger Property Loss","Checked Baggage","Sporting Equipment & Supplies",0,"Deny"
2014010810611,2014-01-03,2014-01-01 17:00:00,"LGA","LaGuardia","Delta Air Lines","Property Damage","Checked Baggage","Home Decor",0,"Deny"
2014010810612,2014-01-02,2013-09-20 14:00:00,"SYR","Syracuse-Hancock International","-","Property Damage","Checkpoint","Jewelry & Watches",272.5,"Settle"
2014010810613,2014-01-02,2013-12-09 18:30:00,"SEA","Seattle-Tacoma International","Alaska Airlines","Passenger Property Loss","Checkpoint","Food & Drink",9.99,"Approve in Full"
2014010810615,2014-01-02,2013-12-03 10:41:00,"SMF","Sacramento International Airport","Southwest Airlines","Property Damage","Checked Baggage","Other",0,"Deny"
2014010810616,2014-01-06,2013-12-19 15:36:00,"DEN","Denver International Airport","Frontier Airlines","Property Damage","Checked Baggage","Toys & Games",0,"Deny"
2014010810617,2014-01-02,2013-05-04 00:00:00,"ORD","Chicago O'Hare International Airport","Virgin America","Property Damage","Checkpoint","Personal Electronics",0,"Deny"
2014010810618,2014-01-06,2013-12-25 00:00:00,"STL","Lambert St. Louis International","USAir","Passenger Property Loss","Checked Baggage","Jewelry & Watches",100,"Approve in Full"
2014010810619,2014-01-02,2013-12-29 15:00:00,"PDX","Portland International","-","Passenger Property Loss","Checked Baggage","Other",0,"Deny"
2014010810620,2014-01-06,2012-08-24 00:00:00,"TPA","Tampa International","-","Passenger Property Loss","Checked Baggage","Personal Accessories",0,"Deny"
2014010810622,2014-01-02,2013-12-23 07:05:00,"SJU","Luis Munoz Marin International","Jet Blue","Property Damage","Checked Baggage","Baggage/Cases/Purses",0,"Deny"
2014010810623,2014-01-06,2013-12-26 19:09:00,"IAD","Washington Dulles International","UAL","Property Damage","Checked Baggage","Baggage/Cases/Purses",99,"Approve in Full"
2014010810624,2014-01-02,2013-12-04 00:00:00,"LAS","McCarran International","Southwest Airlines","Property Damage","Checked Baggage","Audio/Video",0,"Deny"
